# Data Source: Blockchain.com Public Charts API (https://www.blockchain.com/explorer/charts)
Date,Miner Revenue (USD)
2014-10-09,
2014-10-10,1614160.61732474
2014-10-12,
2014-10-13,
2014-10-14,1632626.00013654
2014-10-16,
2014-10-17,
2014-10-18,1747485.79923333
2014-10-20,
2014-10-22,1751380.64131487
2014-10-24,
2014-10-26,1123002.29298534
2014-10-28,
2014-10-30,1631334.81998031
2014-11-01,
2014-11-03,1619527.51719384
2014-11-05,
2014-11-07,1571438.07339558
2014-11-09,
2014-11-11,1312768.2932778
2014-11-13,
2014-11-15,1561463.63238695
2014-11-17,
2014-11-19,1401637.63134078
2014-11-21,
2014-11-23,1381369.81458253
2014-11-25,
2014-11-27,1481376.22009032
2014-11-29,
2014-12-01,1434587.0265017
2014-12-03,
2014-12-05,1608673.90086041
2014-12-07,
2014-12-09,1475143.01528575
2014-12-11,
2014-12-13,1642099.43255656
2014-12-15,
2014-12-17,1308619.63642535
2014-12-19,
2014-12-21,1363448.95268664
2014-12-23,
2014-12-25,1394962.02044135
2014-12-27,
2014-12-29,1703669.81497197
2014-12-31,
2015-01-02,1475784.13022053
2015-01-04,
2015-01-06,1361861.14103894
2015-01-08,
2015-01-10,1335502.20243442
2015-01-12,
2015-01-14,930527.16360222
2015-01-16,
2015-01-18,887192.302591338
2015-01-20,
2015-01-22,907343.516960094
2015-01-24,
2015-01-26,1002878.96603735
2015-01-28,
2015-01-30,1124241.55980927
2015-02-01,
2015-02-03,913622.283780247
2015-02-05,
2015-02-07,1098079.80134983
2015-02-09,
2015-02-11,973022.676337063
2015-02-13,
2015-02-15,1098201.7798575
2015-02-17,
2015-02-19,1155178.61658049
2015-02-21,
2015-02-23,1030310.14904036
2015-02-25,
2015-02-27,1068531.12624588
2015-03-01,
2015-03-03,1356751.04799536
2015-03-05,
2015-03-07,1093338.37354889
2015-03-09,
2015-03-11,1368494.2516486
2015-03-13,
2015-03-15,1111367.7239335
2015-03-17,
2015-03-19,1038892.10203537
2015-03-21,
2015-03-23,1149817.6092931
2015-03-25,
2015-03-27,1268664.29226788
2015-03-29,
2015-03-31,1083199.55999248
2015-04-02,
2015-04-04,1205590.6290449
2015-04-06,
2015-04-08,1013831.8772282
2015-04-10,
2015-04-12,830709.719453486
2015-04-14,
2015-04-16,927077.299737437
2015-04-18,
2015-04-20,983941.699833826
2015-04-22,
2015-04-24,818037.569884457
2015-04-26,
2015-04-28,997245.566561662
2015-04-30,
2015-05-02,1002482.24492307
2015-05-04,
2015-05-06,1095042.63966171
2015-05-08,
2015-05-10,966831.312930865
2015-05-12,
2015-05-14,1112652.15389852
2015-05-16,
2015-05-18,970848.767929774
2015-05-20,
2015-05-22,908597.137475951
2015-05-24,
2015-05-26,1029440.19202808
2015-05-28,
2015-05-30,888252.169613421
2015-06-01,
2015-06-03,860046.112515177
2015-06-05,
2015-06-07,942417.318145213
2015-06-09,
2015-06-11,875567.013509312
2015-06-13,
2015-06-15,1026526.56898407
2015-06-17,
2015-06-19,1043809.14232646
2015-06-21,
2015-06-23,1016657.5535392
2015-06-25,
2015-06-27,860747.558580137
2015-06-29,
2015-07-01,930878.951249757
2015-07-03,
2015-07-05,1099548.27244529
2015-07-07,
2015-07-09,950484.103208261
2015-07-11,
2015-07-13,1315092.08234471
2015-07-15,
2015-07-17,1208780.75198532
2015-07-19,
2015-07-21,1047201.4931061
2015-07-23,
2015-07-25,1408342.78252167
2015-07-27,
2015-07-29,1320651.5092379
2015-07-31,
2015-08-02,1333895.56796352
2015-08-04,
2015-08-06,1043204.44745325
2015-08-08,
2015-08-10,1180678.54211654
2015-08-12,
2015-08-14,1104647.2114158
2015-08-16,
2015-08-18,962805.135865087
2015-08-20,
2015-08-22,1114688.756514
2015-08-24,
2015-08-26,1111421.56469882
2015-08-28,
2015-08-30,1026749.70435154
2015-09-01,
2015-09-03,946813.724187596
2015-09-05,
2015-09-07,980256.737882261
2015-09-09,
2015-09-11,1048514.72308529
2015-09-13,
2015-09-15,1017982.81185978
2015-09-17,
2015-09-19,778412.490972329
2015-09-21,
2015-09-23,1043257.70621495
2015-09-25,
2015-09-27,1029150.16396941
2015-09-29,
2015-10-01,1034425.38573053
2015-10-03,
2015-10-05,1004466.6374232
2015-10-07,
2015-10-09,835694.014570838
2015-10-11,
2015-10-13,919373.613058023
2015-10-15,
2015-10-17,951378.593521099
2015-10-19,
2015-10-21,1125150.56626729
2015-10-23,
2015-10-25,1623113.25054467
2015-10-27,
2015-10-29,1311407.22303599
2015-10-31,
2015-11-02,1460207.56295512
2015-11-04,
2015-11-06,1531783.25646441
2015-11-08,
2015-11-10,1480727.45371108
2015-11-12,
2015-11-14,1447180.70221628
2015-11-16,
2015-11-18,1644297.3427566
2015-11-20,
2015-11-22,1422722.58576834
2015-11-24,
2015-11-26,1614914.77309775
2015-11-28,
2015-11-30,1768320.58084553
2015-12-02,
2015-12-04,1443054.33768336
2015-12-06,
2015-12-08,2011322.09818367
2015-12-10,
2015-12-12,1867996.46203759
2015-12-14,
2015-12-16,2022863.29446252
2015-12-18,
2015-12-20,1982086.17501883
2015-12-22,
2015-12-24,1768771.21282915
2015-12-26,
2015-12-28,1773620.49239852
2015-12-30,
2016-01-01,1554768.75755142
2016-01-03,
2016-01-05,1819807.57014198
2016-01-07,
2016-01-09,1781625.14493402
2016-01-11,
2016-01-13,1729484.4874725
2016-01-15,
2016-01-17,1525313.77287368
2016-01-19,
2016-01-21,1506011.15416668
2016-01-23,
2016-01-25,1709654.30005389
2016-01-27,
2016-01-29,1750044.21085572
2016-01-31,
2016-02-02,1926651.73845393
2016-02-04,
2016-02-06,2006181.99318944
2016-02-08,
2016-02-10,1609224.84661884
2016-02-12,
2016-02-14,1752957.85194894
2016-02-16,
2016-02-18,1897401.34945604
2016-02-20,
2016-02-22,1478179.5581374
2016-02-24,
2016-02-26,1586359.0966024
2016-02-28,
2016-03-01,1666885.76819113
2016-03-03,
2016-03-05,1560093.31900579
2016-03-07,
2016-03-09,1833517.33163624
2016-03-11,
2016-03-13,1408430.95627883
2016-03-15,
2016-03-17,1535746.08174758
2016-03-19,
2016-03-21,1440493.04973998
2016-03-23,
2016-03-25,1529331.78758435
2016-03-27,
2016-03-29,1685402.33992106
2016-03-31,
2016-04-02,1775950.81331598
2016-04-04,
2016-04-06,1703077.74932614
2016-04-08,
2016-04-10,1849714.70662907
2016-04-12,
2016-04-14,1759740.83015229
2016-04-16,
2016-04-18,1478746.25211548
2016-04-20,
2016-04-22,1780084.41598157
2016-04-24,
2016-04-26,1989524.25548891
2016-04-28,
2016-04-30,1670773.98764185
2016-05-02,
2016-05-04,2071544.22122565
2016-05-06,
2016-05-08,1989166.5650913
2016-05-10,
2016-05-12,1677295.06474701
2016-05-14,
2016-05-16,1636434.02969314
2016-05-18,
2016-05-20,1660231.90590849
2016-05-22,
2016-05-24,1700948.82194883
2016-05-26,
2016-05-28,1698374.90534981
2016-05-30,
2016-06-01,2013539.9424602
2016-06-03,
2016-06-05,2522539.86191635
2016-06-07,
2016-06-09,2457044.36954684
2016-06-11,
2016-06-13,2856721.9388474
2016-06-14,
2016-06-15,
2016-06-16,
2016-06-17,2906753.58159383
2016-06-18,
2016-06-19,
2016-06-21,2775119.94524628
2016-06-23,
2016-06-25,2763256.93758464
2016-06-27,
2016-06-29,2683107.4031348
2016-07-01,
2016-07-03,2740471.37629679
2016-07-05,
2016-07-07,2261647.9229562
2016-07-08,
2016-07-09,
2016-07-10,
2016-07-11,1228801.46825101
2016-07-12,
2016-07-13,
2016-07-14,
2016-07-15,1173602.64682308
2016-07-16,
2016-07-17,
2016-07-18,
2016-07-19,1116148.16735075
2016-07-20,
2016-07-21,
2016-07-22,
2016-07-23,1125668.79916968
2016-07-25,
2016-07-27,1144988.34874322
2016-07-29,
2016-07-31,1268565.34183433
2016-08-02,
2016-08-04,1121450.88469978
2016-08-06,
2016-08-08,1155198.82591718
2016-08-10,
2016-08-11,
2016-08-12,1132020.0574617
2016-08-13,
2016-08-14,
2016-08-15,
2016-08-16,1025918.18680799
2016-08-17,
2016-08-18,
2016-08-19,
2016-08-20,1153764.11771597
2016-08-21,
2016-08-22,
2016-08-23,
2016-08-24,1166209.72683511
2016-08-25,
2016-08-26,
2016-08-28,1110157.40925665
2016-08-30,
2016-09-01,1035320.33588952
2016-09-03,
2016-09-05,1113759.73722878
2016-09-07,
2016-09-09,1157646.00172084
2016-09-11,
2016-09-13,1290425.53589363
2016-09-14,
2016-09-15,
