Date,Index,Open,High,Low,Close,Adj Close,Volume,CloseUSD,Currency
2019-10-30,HSI,26766.98046875,26809.529296875,26602.94921875,26667.7109375,26667.7109375,1554112000.0,26667.7109375,USD
2019-10-31,HSI,26708.44921875,27009.5,26708.44921875,26906.720703125,26906.720703125,1907594000.0,26906.720703125,USD
2019-11-01,HSI,26806.439453125,27102.419921875,26800.5703125,27100.759765625,27100.759765625,1421451500.0,27100.759765625,USD
2019-11-04,HSI,27299.880859375,27547.30078125,27299.4609375,27547.30078125,27547.30078125,1777502800.0,27547.30078125,USD
2019-11-05,HSI,27601.099609375,27733.0703125,27463.330078125,27683.400390625,27683.400390625,1748633300.0,27683.400390625,USD
2019-11-06,HSI,27636.330078125,27750.91015625,27547.76953125,27688.640625,27688.640625,1316670900.0,27688.640625,USD
2019-11-07,HSI,27690.599609375,27900.80078125,27534.91015625,27847.23046875,27847.23046875,1353594600.0,27847.23046875,USD
2019-11-08,HSI,27894.560546875,27894.560546875,27582.2890625,27651.140625,27651.140625,1491797400.0,27651.140625,USD
2019-11-11,HSI,27361.41015625,27361.41015625,26830.470703125,26926.55078125,26926.55078125,1921659900.0,26926.55078125,USD
2019-11-12,HSI,27064.259765625,27076.669921875,26794.609375,27065.279296875,27065.279296875,1149626200.0,27065.279296875,USD
2019-11-13,HSI,26761.16015625,26761.16015625,26465.330078125,26571.4609375,26571.4609375,1855002900.0,26571.4609375,USD
2019-11-14,HSI,26444.23046875,26605.9609375,26203.970703125,26323.689453125,26323.689453125,1554697800.0,26323.689453125,USD
2019-11-15,HSI,26529.94921875,26544.650390625,26300.080078125,26326.66015625,26326.66015625,1180282700.0,26326.66015625,USD
2019-11-18,HSI,26442.390625,26702.16015625,26406.349609375,26681.08984375,26681.08984375,1425323100.0,26681.08984375,USD
2019-11-19,HSI,26671.3203125,27093.80078125,26605.630859375,27093.80078125,27093.80078125,1542578800.0,27093.80078125,USD
2019-11-20,HSI,26936.7890625,26962.169921875,26804.349609375,26889.609375,26889.609375,1333243700.0,26889.609375,USD
2019-11-21,HSI,26587.58984375,26587.58984375,26306.01953125,26466.880859375,26466.880859375,1712162300.0,26466.880859375,USD
2019-11-22,HSI,26584.880859375,26690.169921875,26487.669921875,26595.080078125,26595.080078125,1100431900.0,26595.080078125,USD
2019-11-25,HSI,26873.349609375,27114.220703125,26852.890625,26993.0390625,26993.0390625,1497175900.0,26993.0390625,USD
2019-11-26,HSI,27183.900390625,27227.869140625,26913.919921875,26913.919921875,26913.919921875,2416392100.0,26913.919921875,USD
2019-11-27,HSI,26943.51953125,26974.279296875,26866.80078125,26954.0,26954.0,1133748200.0,26954.0,USD
2019-11-28,HSI,26763.630859375,26991.80078125,26763.630859375,26893.73046875,26893.73046875,998841900.0,26893.73046875,USD
2019-11-29,HSI,26705.380859375,26705.380859375,26308.099609375,26346.490234375,26346.490234375,2004856800.0,26346.490234375,USD
2019-12-02,HSI,26475.33984375,26511.55078125,26393.08984375,26444.720703125,26444.720703125,1348911800.0,26444.720703125,USD
2019-12-03,HSI,26315.970703125,26424.119140625,26063.01953125,26391.30078125,26391.30078125,1795451800.0,26391.30078125,USD
2019-12-04,HSI,26071.390625,26191.7890625,25995.150390625,26062.560546875,26062.560546875,1502327900.0,26062.560546875,USD
2019-12-05,HSI,26300.509765625,26300.509765625,26134.060546875,26217.0390625,26217.0390625,1228026600.0,26217.0390625,USD
2019-12-06,HSI,26345.19921875,26520.080078125,26309.33984375,26498.369140625,26498.369140625,1644211100.0,26498.369140625,USD
2019-12-09,HSI,26513.970703125,26618.25,26432.26953125,26494.73046875,26494.73046875,1301819900.0,26494.73046875,USD
2019-12-10,HSI,26378.990234375,26527.08984375,26355.529296875,26436.619140625,26436.619140625,956293300.0,26436.619140625,USD
2019-12-11,HSI,26410.08984375,26659.98046875,26364.4296875,26645.4296875,26645.4296875,1409589200.0,26645.4296875,USD
2019-12-12,HSI,26837.939453125,27048.98046875,26837.939453125,26994.140625,26994.140625,1451721900.0,26994.140625,USD
2019-12-13,HSI,27494.509765625,27687.759765625,27405.259765625,27687.759765625,27687.759765625,2212195500.0,27687.759765625,USD
2019-12-16,HSI,27530.5,27715.9296875,27473.3203125,27508.08984375,27508.08984375,1421412600.0,27508.08984375,USD
2019-12-17,HSI,27630.689453125,27894.720703125,27563.439453125,27843.7109375,27843.7109375,1926224500.0,27843.7109375,USD
2019-12-18,HSI,27884.2109375,27884.2109375,27884.2109375,27884.2109375,27884.2109375,0.0,27884.2109375,USD
2019-12-19,HSI,27908.779296875,27908.779296875,27675.240234375,27800.490234375,27800.490234375,1296810200.0,27800.490234375,USD
2019-12-20,HSI,27834.55078125,27959.51953125,27740.66015625,27871.349609375,27871.349609375,1680024400.0,27871.349609375,USD
2019-12-23,HSI,28024.619140625,28024.619140625,27830.080078125,27906.41015625,27906.41015625,1216834000.0,27906.41015625,USD
2019-12-24,HSI,27901.509765625,27921.2890625,27792.66015625,27864.2109375,27864.2109375,483984100.0,27864.2109375,USD
2019-12-27,HSI,28033.66015625,28226.109375,28000.619140625,28225.419921875,28225.419921875,1375016100.0,28225.419921875,USD
2019-12-30,HSI,28250.48046875,28418.650390625,28165.130859375,28319.390625,28319.390625,1420447400.0,28319.390625,USD
2019-12-31,HSI,28241.4296875,28298.4609375,28123.859375,28189.75,28189.75,873713900.0,28189.75,USD
2020-01-02,HSI,28249.369140625,28543.51953125,28245.970703125,28543.51953125,28543.51953125,1262732800.0,28543.51953125,USD
2020-01-03,HSI,28828.359375,28883.30078125,28428.169921875,28451.5,28451.5,1797904800.0,28451.5,USD
2020-01-06,HSI,28326.5,28367.869140625,28054.2890625,28226.189453125,28226.189453125,1793426600.0,28226.189453125,USD
2020-01-07,HSI,28352.6796875,28473.080078125,28264.0703125,28322.060546875,28322.060546875,1302687200.0,28322.060546875,USD
2020-01-08,HSI,27999.580078125,28198.609375,27857.73046875,28087.919921875,28087.919921875,1709241600.0,28087.919921875,USD
2020-01-09,HSI,28367.650390625,28561.0,28325.859375,28561.0,28561.0,1692786200.0,28561.0,USD
2020-01-10,HSI,28665.140625,28665.140625,28504.26953125,28638.19921875,28638.19921875,1448401000.0,28638.19921875,USD
2020-01-13,HSI,28772.369140625,28971.400390625,28671.83984375,28954.939453125,28954.939453125,1765055700.0,28954.939453125,USD
2020-01-14,HSI,29149.529296875,29149.529296875,28790.490234375,28885.140625,28885.140625,1643504700.0,28885.140625,USD
2020-01-15,HSI,28891.0703125,28972.6796875,28619.099609375,28773.58984375,28773.58984375,1240120700.0,28773.58984375,USD
2020-01-16,HSI,28806.119140625,28987.73046875,28709.5703125,28883.0390625,28883.0390625,1620926200.0,28883.0390625,USD
2020-01-17,HSI,28988.16015625,29101.150390625,28813.130859375,29056.419921875,29056.419921875,1545082800.0,29056.419921875,USD
2020-01-20,HSI,29169.119140625,29174.919921875,28795.419921875,28795.91015625,28795.91015625,1633383900.0,28795.91015625,USD
2020-01-21,HSI,28449.380859375,28492.029296875,27980.5,27985.330078125,27985.330078125,2236521700.0,27985.330078125,USD
2020-01-22,HSI,28116.5,28393.9296875,27937.6796875,28341.0390625,28341.0390625,1343288100.0,28341.0390625,USD
2020-01-23,HSI,28109.75,28133.029296875,27706.369140625,27909.119140625,27909.119140625,1753263000.0,27909.119140625,USD
2020-01-24,HSI,27935.419921875,27977.630859375,27774.5,27949.640625,27949.640625,612128700.0,27949.640625,USD
2020-01-29,HSI,27101.5390625,27333.30078125,27101.5390625,27160.630859375,27160.630859375,2203836100.0,27160.630859375,USD
2020-01-30,HSI,27030.609375,27134.55078125,26330.05078125,26449.130859375,26449.130859375,2223567800.0,26449.130859375,USD
2020-01-31,HSI,26757.609375,26818.83984375,26295.490234375,26312.630859375,26312.630859375,1874255200.0,26312.630859375,USD
2020-02-03,HSI,26189.609375,26512.580078125,26145.58984375,26356.98046875,26356.98046875,2421482700.0,26356.98046875,USD
2020-02-04,HSI,26491.66015625,26730.259765625,26491.66015625,26675.98046875,26675.98046875,2500238100.0,26675.98046875,USD
2020-02-05,HSI,26869.3203125,26926.119140625,26641.919921875,26786.740234375,26786.740234375,2498930800.0,26786.740234375,USD
2020-02-06,HSI,27174.529296875,27608.220703125,27029.490234375,27493.69921875,27493.69921875,2249533900.0,27493.69921875,USD
2020-02-07,HSI,27356.279296875,27410.580078125,27224.119140625,27404.26953125,27404.26953125,1464514700.0,27404.26953125,USD
2020-02-10,HSI,27092.150390625,27314.640625,27044.880859375,27241.33984375,27241.33984375,1612017900.0,27241.33984375,USD
2020-02-11,HSI,27514.25,27674.810546875,27436.990234375,27583.880859375,27583.880859375,1868625400.0,27583.880859375,USD
2020-02-12,HSI,27717.220703125,27892.48046875,27614.830078125,27823.66015625,27823.66015625,1796561200.0,27823.66015625,USD
2020-02-13,HSI,27953.650390625,27953.650390625,27695.599609375,27730.0,27730.0,1617010200.0,27730.0,USD
2020-02-14,HSI,27698.560546875,27960.66015625,27695.58984375,27815.599609375,27815.599609375,1445335900.0,27815.599609375,USD
2020-02-17,HSI,27766.7109375,28055.580078125,27766.7109375,27959.599609375,27959.599609375,1412999200.0,27959.599609375,USD
2020-02-18,HSI,27766.5,27771.30078125,27496.25,27530.19921875,27530.19921875,1592221400.0,27530.19921875,USD
2020-02-19,HSI,27486.4609375,27697.4609375,27448.599609375,27655.810546875,27655.810546875,1471538100.0,27655.810546875,USD
2020-02-20,HSI,27767.279296875,27767.279296875,27383.130859375,27609.16015625,27609.16015625,1582073100.0,27609.16015625,USD
2020-02-21,HSI,27450.4609375,27484.529296875,27264.779296875,27308.810546875,27308.810546875,1773613400.0,27308.810546875,USD
2020-02-24,HSI,27105.349609375,27105.349609375,26813.220703125,26820.880859375,26820.880859375,2044657000.0,26820.880859375,USD
2020-02-25,HSI,26722.390625,26914.05078125,26667.0390625,26893.23046875,26893.23046875,1924042900.0,26893.23046875,USD
2020-02-26,HSI,26479.900390625,26776.060546875,26479.900390625,26696.490234375,26696.490234375,2040000000.0,26696.490234375,USD
2020-02-27,HSI,26529.169921875,26849.5703125,26419.970703125,26778.619140625,26778.619140625,2110369700.0,26778.619140625,USD
2020-02-28,HSI,26249.060546875,26313.55078125,25989.41015625,26129.9296875,26129.9296875,3191426200.0,26129.9296875,USD
2020-03-02,HSI,26077.73046875,26375.91015625,26077.73046875,26291.6796875,26291.6796875,2201535600.0,26291.6796875,USD
2020-03-03,HSI,26419.130859375,26527.75,26233.390625,26284.8203125,26284.8203125,2136295000.0,26284.8203125,USD
2020-03-04,HSI,26321.560546875,26372.48046875,26038.390625,26222.0703125,26222.0703125,1957062400.0,26222.0703125,USD
2020-03-05,HSI,26348.16015625,26805.580078125,26315.359375,26767.869140625,26767.869140625,2522843200.0,26767.869140625,USD
2020-03-06,HSI,26397.779296875,26408.80078125,26084.23046875,26146.669921875,26146.669921875,2646519300.0,26146.669921875,USD
2020-03-09,HSI,25134.01953125,25321.279296875,24948.380859375,25040.4609375,25040.4609375,4677892400.0,25040.4609375,USD
2020-03-10,HSI,25285.6796875,25578.609375,24978.970703125,25392.509765625,25392.509765625,3225661100.0,25392.509765625,USD
2020-03-11,HSI,25459.9609375,25493.23046875,25140.380859375,25231.609375,25231.609375,2627625600.0,25231.609375,USD
2020-03-12,HSI,24657.669921875,24657.669921875,24117.939453125,24309.0703125,24309.0703125,3748928400.0,24309.0703125,USD
2020-03-13,HSI,22519.3203125,24184.48046875,22519.3203125,24032.91015625,24032.91015625,5495155700.0,24032.91015625,USD
