Index,Date,Open,High,Low,Close,Adj Close,Volume,CloseUSD
399001.SZ,2020-03-26,10161.9404296875,10281.5703125,10112.6201171875,10155.3603515625,10155.3603515625,1555200.0,
399001.SZ,2020-03-27,10300.6201171875,10310.5302734375,10105.7197265625,10109.91015625,10109.91015625,1423400.0,
399001.SZ,2020-03-30,9953.0400390625,9985.3798828125,9791.01953125,9904.9501953125,9904.9501953125,1502800.0,
399001.SZ,2020-03-31,10008.0302734375,10047.98046875,9925.6796875,9962.2998046875,9962.2998046875,1317900.0,
399001.SZ,2020-04-01,9967.1201171875,10127.099609375,9927.919921875,9951.83984375,9951.83984375,1488300.0,
399001.SZ,2020-04-02,9910.3798828125,10179.2001953125,9896.650390625,10179.2001953125,10179.2001953125,1445500.0,
399001.SZ,2020-04-03,10155.5595703125,10212.91015625,10069.6396484375,10110.1103515625,10110.1103515625,1321800.0,
399001.SZ,2020-04-07,10312.7099609375,10441.740234375,10296.7197265625,10428.91015625,10428.91015625,1706400.0,
399001.SZ,2020-04-08,10372.759765625,10426.400390625,10344.4404296875,10386.5498046875,10386.5498046875,1538400.0,
399001.SZ,2020-04-09,10453.8603515625,10485.2998046875,10401.169921875,10463.0498046875,10463.0498046875,1386700.0,
399001.SZ,2020-04-10,10459.7001953125,10509.0,10265.8798828125,10298.41015625,10298.41015625,1449200.0,
399001.SZ,2020-04-13,10225.5302734375,10295.169921875,10173.1201171875,10223.16015625,10223.16015625,1145300.0,
399001.SZ,2020-04-14,10300.9599609375,10475.7099609375,10276.3701171875,10475.7099609375,10475.7099609375,1383600.0,
399001.SZ,2020-04-15,10468.4599609375,10528.73046875,10404.509765625,10417.3701171875,10417.3701171875,1547600.0,
399001.SZ,2020-04-16,10361.76953125,10489.1298828125,10346.1103515625,10470.7900390625,10470.7900390625,1383300.0,
399001.SZ,2020-04-17,10562.900390625,10624.5400390625,10507.7998046875,10527.990234375,10527.990234375,1711500.0,
399001.SZ,2020-04-20,10553.5498046875,10621.5,10523.58984375,10621.5,10621.5,1421200.0,
399001.SZ,2020-04-21,10577.7197265625,10577.7197265625,10394.4404296875,10506.8603515625,10506.8603515625,1464300.0,
399001.SZ,2020-04-22,10424.4501953125,10617.1904296875,10409.849609375,10617.1904296875,10617.1904296875,1297100.0,
399001.SZ,2020-04-23,10657.400390625,10667.009765625,10557.9404296875,10564.0498046875,10564.0498046875,1421400.0,
399001.SZ,2020-04-24,10565.08984375,10577.0302734375,10388.66015625,10423.4599609375,10423.4599609375,1352700.0,
399001.SZ,2020-04-27,10449.1298828125,10531.3896484375,10367.2900390625,10452.169921875,10452.169921875,1236200.0,
399001.SZ,2020-04-28,10477.759765625,10547.75,10194.150390625,10501.150390625,10501.150390625,1590300.0,
399001.SZ,2020-04-29,10460.990234375,10586.5703125,10449.3701171875,10514.169921875,10514.169921875,1186200.0,
399001.SZ,2020-04-30,10575.51953125,10751.75,10575.51953125,10721.7802734375,10721.7802734375,1596700.0,
399001.SZ,2020-05-06,10618.169921875,10884.33984375,10613.8896484375,10883.2197265625,10883.2197265625,1680000.0,
399001.SZ,2020-05-07,10899.919921875,10926.830078125,10832.08984375,10863.2900390625,10863.2900390625,1485300.0,
399001.SZ,2020-05-08,10923.6103515625,11054.3095703125,10904.8798828125,11001.580078125,11001.580078125,1546500.0,
399001.SZ,2020-05-11,11053.8203125,11096.2802734375,10902.599609375,10969.2802734375,10969.2802734375,1568100.0,
399001.SZ,2020-05-12,10972.0498046875,11018.9296875,10871.6103515625,11015.5595703125,11015.5595703125,1328100.0,
399001.SZ,2020-05-13,10978.3095703125,11096.6201171875,10954.6904296875,11074.58984375,11074.58984375,1274100.0,
399001.SZ,2020-05-14,11026.7099609375,11047.3798828125,10955.5400390625,10962.150390625,10962.150390625,1367700.0,
399001.SZ,2020-05-15,11013.16015625,11039.6796875,10919.5400390625,10964.8896484375,10964.8896484375,1373500.0,
399001.SZ,2020-05-18,10969.080078125,11017.5,10858.4599609375,10921.150390625,10921.150390625,1617400.0,
399001.SZ,2020-05-19,11023.4296875,11052.849609375,10978.7197265625,11052.849609375,11052.849609375,1311500.0,
399001.SZ,2020-05-20,11056.98046875,11056.98046875,10914.75,10948.48046875,10948.48046875,1491700.0,
