,Gold/BTC Ratio,S2F Model,Onchain Mining Difficulty,BTC/USD
2015-08-02,0.5560077911943757,5.4296424337192456e-05,0.0001054000212694,0.0009862492115902
2015-08-03,0.5573236181857795,5.45807558342823e-05,0.0001054000212694,0.0009731601488813
2015-08-04,0.5501345864364525,5.485361662661863e-05,0.0001054000212694,0.0010108223788896
2015-08-05,0.5541194648476625,5.5104761730222673e-05,0.0001054000212694,0.0009793412391546
2015-08-06,0.5630753375366432,5.5361090957156006e-05,0.0001054000212694,0.0009481526954089
2015-08-07,0.563052172826272,5.562120842094218e-05,0.0001054000212694,0.0009576649449419
2015-08-08,0.575690745853005,5.5897623179047655e-05,0.0001073089639771,0.0007822539373645
2015-08-09,0.5883293188797377,5.618096870772175e-05,0.0001092179066848,0.0008208126745721
2015-08-10,0.6009678919064705,5.647017754830834e-05,0.0001092179066848,0.0008150278560323
2015-08-11,0.5895607761299021,5.678108428749229e-05,0.0001092179066848,0.0008708558043585
2015-08-12,0.6069704719500401,5.704584539010008e-05,0.0001092179066848,0.0008330144457033
2015-08-13,0.6081665986418991,5.730149749315128e-05,0.0001092179066848,0.0008113473671122
2015-08-14,0.6029562630225317,5.757321401398709e-05,0.0001092179066848,0.0008264462993182
2015-08-15,0.6100607081074281,5.783668887462506e-05,0.0001092179066848,0.0007874817867672
2015-08-16,0.6171651531923246,5.809266111017782e-05,0.0001092179066848,0.0007587561179233
2015-08-17,0.6242695982772211,5.836425573906327e-05,0.0001092179066848,0.0007537454116071
2015-08-18,0.7627408172833968,5.863059795979669e-05,0.0001092179066848,0.0003111877860948
2015-08-19,0.7170117990257041,5.891157930005669e-05,0.0001092179066848,0.0004584491011851
2015-08-20,0.7057975396812018,5.919354305367915e-05,0.0001092179066848,0.0005402283842385
2015-08-21,0.7183897597356962,5.948866104953977e-05,0.0001092179066848,0.0005139845975161
2015-08-22,0.7422060022303701,5.979633122687176e-05,0.0001162678571519,0.0004934218095952
2015-08-23,0.7660222447250442,6.007149128126472e-05,0.000123317807619,0.0004724627499408
2015-08-24,0.789838487219718,6.034036214735484e-05,0.000123317807619,0.0003056767003187
2015-08-25,0.7401140430441099,6.061253302523201e-05,0.000123317807619,0.0004105572430915
2015-08-26,0.7174895217861881,6.089004302800425e-05,0.000123317807619,0.0004503993996162
2015-08-27,0.7194793062719294,6.11730139600063e-05,0.000123317807619,0.0004403775550016
2015-08-28,0.7054665082435951,6.144766917547757e-05,0.000123317807619,0.0005029151959025
2015-08-29,0.7065284981152035,6.174928981645311e-05,0.000123317807619,0.000487665357891
2015-08-30,0.7075904879868117,6.20406508546463e-05,0.000123317807619,0.0004780492886197
2015-08-31,0.70865247785842,6.233541272689525e-05,0.000123317807619,0.0004902699229766
2015-09-01,0.7192009298071983,6.262466447218767e-05,0.000123317807619,0.0004720097445361
2015-09-02,0.7116190775381016,6.292307139659772e-05,0.000123317807619,0.0004829846860273
2015-09-03,0.7126244845891623,6.321301159485507e-05,0.0001355494313233,0.0004631579958904
2015-09-04,0.7009875857445801,6.350006607622221e-05,0.0001477810550276,0.0004925536692314
2015-09-05,0.6913343274375221,6.378839249234115e-05,0.0001477810550276,0.0005371047204613
2015-09-06,0.6816810691304641,6.406558373491075e-05,0.0001477810550276,0.0005825995089519
2015-09-07,0.6720278108234061,6.434361475894461e-05,0.0001477810550276,0.0005826656022389
