,Global averaged stocks(USD),Currency US Dollar Index,Gold/BTC Ratio,S2F Model,BTC/USD
2015-07-06,0.0613201549440093,0.3021161999642441,0.6276978213172013,4.695632862176762e-05,0.0008580596256271
2015-07-07,0.0635255405098319,0.3244516074641304,0.6232415182682707,4.724391788302472e-05,0.0008314195671712
2015-07-08,0.0557349611212895,0.3017242667919895,0.6184725876527678,4.751609209994301e-05,0.0008746212497912
2015-07-09,0.0567576556384861,0.3142634376874089,0.6197574494410641,4.7783384190467335e-05,0.0008599280929286
2015-07-10,0.0631627785777423,0.2915360970152689,0.5848184941637318,4.804659752499286e-05,0.0010077650963876
2015-07-11,0.0653274759809114,0.302377289440805,0.5795967148938173,4.832635278893024e-05,0.0010853447918292
2015-07-12,0.0674921733840807,0.3132184818663388,0.5743749356239027,4.858294521210274e-05,0.0012528669392354
2015-07-13,0.06965687078725,0.3240596742918744,0.5691531563539882,4.883953066054541e-05,0.0010753323068303
2015-07-14,0.0720949686771957,0.3154389382467584,0.577341511996674,4.911161721082001e-05,0.0010320174448562
2015-07-15,0.0718861354568305,0.3346394782834339,0.5775742522287997,4.9384060573889465e-05,0.0010165884781978
2015-07-16,0.0748828758284425,0.3554077510091309,0.5919798639934879,4.965021020544142e-05,0.0009435474764479
2015-07-17,0.0751764624371458,0.3632446207097368,0.582814946209851,4.99059557090921e-05,0.0009565985247172
2015-07-18,0.0753451340261905,0.3654650770901564,0.5788162844317497,5.017872428627295e-05,0.0009134630793782
2015-07-19,0.075513805615235,0.3676855334705746,0.5748176226536486,5.04580867256826e-05,0.0009013180419182
2015-07-20,0.0756824772042797,0.3699059898509937,0.5708189608755473,5.0740438734937776e-05,0.0009519650829147
2015-07-21,0.0714019844493872,0.3424766469414559,0.5756423218546796,5.100227456941329e-05,0.000922258238347
2015-07-22,0.0690683140633758,0.3530564509330163,0.5664720254641344,5.12603962196649e-05,0.0009353657322992
2015-07-23,0.0658449291873457,0.3342478440685958,0.5702582160954133,5.153626802257855e-05,0.0009242966186738
2015-07-24,0.0609105171982926,0.3389498463059919,0.5416949505710911,5.18161926243628e-05,0.0010396992415272
2015-07-25,0.0595957684601339,0.3292842540922782,0.5401773484809721,5.211904340538773e-05,0.0010436530312286
2015-07-26,0.0582810197219754,0.3196186618785646,0.538659746390853,5.2390833605806485e-05,0.0010812965420053
2015-07-27,0.0569662709838167,0.3099530696648509,0.537142144300734,5.266505813800317e-05,0.0010901481466569
2015-07-28,0.0623009085171054,0.3205328736564108,0.5355689848652526,5.292965536897237e-05,0.0010977259795955
2015-07-29,0.0655055997151938,0.3287619754866879,0.542774666902205,5.319652586690128e-05,0.0010520801413053
2015-07-30,0.0657652849685616,0.3514890172014122,0.5441579595206942,5.345996040959935e-05,0.0010344520969165
2015-07-31,0.0645020455197593,0.3440440806730613,0.5533761372115683,5.372776354777974e-05,0.001005462342913
2015-08-01,0.0637244531536357,0.3456114147521938,0.5546919642029721,5.401081085094146e-05,0.000976689731996
2015-08-02,0.0629468607875121,0.3471787488313249,0.5560077911943757,5.4296424337192456e-05,0.0009862492115902
2015-08-03,0.0621692684213885,0.3487460829104574,0.5573236181857795,5.45807558342823e-05,0.0009731601488813
2015-08-04,0.0608899933700627,0.3659875550006908,0.5501345864364525,5.485361662661863e-05,0.0010108223788896
2015-08-05,0.0614292667611807,0.3671630555600398,0.5541194648476625,5.5104761730222673e-05,0.0009793412391546
2015-08-06,0.0568730204691415,0.3620691201503869,0.5630753375366432,5.5361090957156006e-05,0.0009481526954089
2015-08-07,0.0555507042047921,0.3514890172014122,0.563052172826272,5.562120842094218e-05,0.0009576649449419
2015-08-08,0.0577821076809592,0.3462644374010084,0.575690745853005,5.5897623179047655e-05,0.0007822539373645
2015-08-09,0.0600135111571262,0.3410398576006037,0.5883293188797377,5.618096870772175e-05,0.0008208126745721
2015-08-10,0.0622449146332934,0.3358152778001995,0.6009678919064705,5.647017754830834e-05,0.0008150278560323
2015-08-11,0.0560573508095255,0.3409092132098519,0.5895607761299021,5.678108428749229e-05,0.0008708558043585
2015-08-12,0.0562195478788014,0.3005487662326409,0.6069704719500401,5.704584539010008e-05,0.0008330144457033
2015-08-13,0.0561059914109305,0.3079937027609918,0.6081665986418991,5.730149749315128e-05,0.0008113473671122
2015-08-14,0.0579762851740178,0.3126960039558044,0.6029562630225317,5.757321401398709e-05,0.0008264462993182
2015-08-15,0.0588035494167086,0.3159614161572937,0.6100607081074281,5.783668887462506e-05,0.0007874817867672
2015-08-16,0.0596308136593992,0.3192268283587811,0.6171651531923246,5.809266111017782e-05,0.0007587561179233
2015-08-17,0.06045807790209,0.3224922405602703,0.6242695982772211,5.836425573906327e-05,0.0007537454116071
2015-08-18,0.0589813536009404,0.3283700423144329,0.7627408172833968,5.863059795979669e-05,0.0003111877860948
2015-08-19,0.0544543570322544,0.3083856359332464,0.7170117990257041,5.891157930005669e-05,0.0004584491011851
2015-08-20,0.0433080663656069,0.280564359851454,0.7057975396812018,5.919354305367915e-05,0.0005402283842385
2015-08-21,0.0276374698869468,0.2445142808968001,0.7183897597356962,5.948866104953977e-05,0.0005139845975161
2015-08-22,0.0219245904003824,0.2246605189063659,0.7422060022303701,5.979633122687176e-05,0.0004934218095952
2015-08-23,0.016211710913818,0.2048067569159313,0.7660222447250442,6.007149128126472e-05,0.0004724627499408
2015-08-24,0.0104988314272536,0.1849529949254975,0.789838487219718,6.034036214735484e-05,0.0003056767003187
2015-08-25,0.0054863766009185,0.2327586773884755,0.7401140430441099,6.061253302523201e-05,0.0004105572430915
2015-08-26,0.0235604615203276,0.2550940848883605,0.7174895217861881,6.089004302800425e-05,0.0004503993996162
2015-08-27,0.0343682833212086,0.2750784912695465,0.7194793062719294,6.11730139600063e-05,0.0004403775550016
2015-08-28,0.0344541805534767,0.2946709644784779,0.7054665082435951,6.144766917547757e-05,0.0005029151959025
2015-08-29,0.0332137925645206,0.2925810528363395,0.7065284981152035,6.174928981645311e-05,0.000487665357891
2015-08-30,0.0319734045755646,0.2904911411941997,0.7075904879868117,6.20406508546463e-05,0.0004780492886197
2015-08-31,0.0307330165866084,0.2884012295520608,0.70865247785842,6.233541272689525e-05,0.0004902699229766
