,Global averaged stocks(USD),Currency US Dollar Index,Volatility_CBOE SKEW Index,Gold/BTC Ratio,BTC Volume,S2F Model,Onchain Hash Rate (GH/s),Onchain Mining Difficulty,BTC/USD
2015-04-03,0.0627166767579329,0.3492332810665441,0.1426337683089979,0.6845644132117114,3.7573358308812526e-05,2.282536611250365e-05,0.0001335926027513,6.515347084597209e-05,0.000698820479163
2015-04-04,0.0635063476898041,0.3423376169317118,0.1439816249084169,0.6853522385509188,3.7636503264361456e-05,2.3076937953501323e-05,0.0001398372162,7.001199376088045e-05,0.0007303785694967
2015-04-05,0.0642059459562348,0.341226693497411,0.1498835886851025,0.6857986675224075,3.768980763687377e-05,2.3327659637499342e-05,0.0001427292058698,7.352277896765488e-05,0.0007412857778609
2015-04-06,0.0646745405287453,0.3486054431630621,0.1616519137607041,0.6868492571289743,3.775742255229568e-05,2.3576609879865417e-05,0.0001420210412901,7.560039875124678e-05,0.0007288235377958
2015-04-07,0.0649932889121174,0.3617764060482659,0.176588143249763,0.6894081823278573,3.795740477109052e-05,2.3824535670706605e-05,0.0001393895136887,7.719775572416119e-05,0.0007076735978389
2015-04-08,0.0650639010637906,0.3832821778266191,0.1957607107030543,0.7068629607477787,3.821269693335792e-05,2.407147069559556e-05,0.0001336966318624,7.773065293328727e-05,0.0006699020556042
2015-04-09,0.0654513459761983,0.3975466652044227,0.2018593630438845,0.7059496931139497,3.88707320052124e-05,2.431444545680874e-05,0.0001276971521809,7.874509135795024e-05,0.0006316921997858
2015-04-10,0.0661740196415934,0.4037838784767688,0.1930145044228756,0.73436675627325,3.995757709553951e-05,2.4553340838940778e-05,0.0001214849402002,8.033060024118125e-05,0.0005941814670048
2015-04-11,0.0668408506539652,0.4122997340447407,0.1784014743998278,0.7470601954666224,4.12440738682796e-05,2.47895159224554e-05,0.000112664123427,8.121633800718052e-05,0.0005423133786874
2015-04-12,0.0675761627611902,0.4194509575764405,0.1530879586592039,0.7584395300031577,4.2815493748129495e-05,2.5022210570367046e-05,0.000101762635806,8.17297006740979e-05,0.0004793651291443
2015-04-13,0.0681609183989988,0.4181849882221887,0.1426479207074217,0.7707766601583365,4.366296048735533e-05,2.5260299582862104e-05,9.545940527730492e-05,8.19116469595875e-05,0.0004392416717776
2015-04-14,0.0685345362523564,0.408555096305906,0.1493905065117342,0.7837122989229439,4.366812828317798e-05,2.550463898785421e-05,9.407471345884724e-05,8.160046563430301e-05,0.0004231274208446
2015-04-15,0.0688896711733483,0.391003928060934,0.1566777732563591,0.7740559828083888,4.337246514321622e-05,2.5750382589605005e-05,9.476989069779366e-05,8.098858955052337e-05,0.0004170101820647
2015-04-16,0.0691558291877259,0.3634599327905602,0.1710667658439669,0.7559950385873564,4.2484903835592194e-05,2.5999976287503253e-05,9.933471247095204e-05,8.003015567325989e-05,0.0004297922432719
2015-04-17,0.0693597523666762,0.3507521146802052,0.1783953072209439,0.7774491759657407,4.15408001477296e-05,2.6248489005168e-05,0.0001032175687438,7.836302654656457e-05,0.0004378180661711
2015-04-18,0.0695152865716864,0.3543814032741204,0.1763807231184394,0.7729912759003124,4.057581914719443e-05,2.649548703512732e-05,0.0001061885413154,7.597035361218533e-05,0.000439850783001
2015-04-19,0.0695452885554436,0.3587786715472963,0.1772138551943334,0.7694420228797149,3.906178709968602e-05,2.674554337354446e-05,0.0001120769425799,7.296591071077512e-05,0.0004553508389018
